filename,date,file_exists,can_read,missing_base_cols,missing_cities,total_rows,complete_rows,error
china_cities_20180409.csv,2018-04-09,True,True,[],[],360,360,
china_cities_20180410.csv,2018-04-10,True,True,[],[],360,360,
china_cities_20180411.csv,2018-04-11,True,True,[],[],360,356,
china_cities_20180412.csv,2018-04-12,True,True,[],[],360,360,
china_cities_20180413.csv,2018-04-13,True,True,[],[],360,358,
china_cities_20180414.csv,2018-04-14,True,True,[],[],360,339,
china_cities_20180415.csv,2018-04-15,True,True,[],[],360,355,
china_cities_20180416.csv,2018-04-16,True,True,[],[],360,360,
china_cities_20180417.csv,2018-04-17,True,True,[],[],360,354,
china_cities_20180418.csv,2018-04-18,True,True,[],[],360,355,
china_cities_20180419.csv,2018-04-19,True,True,[],[],360,360,
china_cities_20180420.csv,2018-04-20,True,True,[],[],360,360,
china_cities_20180421.csv,2018-04-21,True,True,[],[],360,292,
china_cities_20180422.csv,2018-04-22,True,True,[],[],360,355,
china_cities_20180423.csv,2018-04-23,True,True,[],[],360,242,
china_cities_20180424.csv,2018-04-24,True,True,[],[],360,350,
china_cities_20180425.csv,2018-04-25,True,True,[],[],360,350,
china_cities_20180426.csv,2018-04-26,True,True,[],[],360,359,
china_cities_20180427.csv,2018-04-27,True,True,[],[],360,359,
china_cities_20180428.csv,2018-04-28,True,True,[],[],360,358,
china_cities_20180429.csv,2018-04-29,True,True,[],[],360,335,
china_cities_20180430.csv,2018-04-30,True,True,[],[],360,351,
china_cities_20180501.csv,2018-05-01,True,True,[],[],360,357,
china_cities_20180502.csv,2018-05-02,True,True,[],[],360,353,
china_cities_20180503.csv,2018-05-03,True,True,[],[],360,360,
china_cities_20180504.csv,2018-05-04,True,True,[],[],360,359,
china_cities_20180505.csv,2018-05-05,True,True,[],[],345,344,
china_cities_20180506.csv,2018-05-06,True,True,[],[],360,357,
china_cities_20180507.csv,2018-05-07,True,True,[],[],360,247,
china_cities_20180508.csv,2018-05-08,True,True,[],[],345,321,
china_cities_20180509.csv,2018-05-09,True,True,[],[],360,291,
china_cities_20180510.csv,2018-05-10,True,True,[],[],360,356,
china_cities_20180511.csv,2018-05-11,True,True,[],[],360,360,
china_cities_20180512.csv,2018-05-12,True,True,[],[],360,347,
china_cities_20180513.csv,2018-05-13,True,True,[],[],360,348,
china_cities_20180514.csv,2018-05-14,True,True,[],[],360,351,
china_cities_20180515.csv,2018-05-15,True,True,[],[],330,312,
china_cities_20180516.csv,2018-05-16,True,True,[],[],360,356,
