valid_time,latitude,longitude,expver,t2m
1420070400.0,41.0,115.0,0001,253.74268
1420074000.0,40.75,115.25,0001,252.5044
1420077600.0,40.5,115.5,0001,252.7583
1420081200.0,40.25,115.75,0001,253.67822
1420084800.0,40.0,116.0,0001,254.9419
1420088400.0,39.75,116.25,0001,254.87158
1420092000.0,39.5,116.5,0001,255.2876
1420095600.0,39.25,116.75,0001,256.70947
1420099200.0,39.0,117.0,0001,258.1548
1420102800.0,,,0001,256.35986
1420106400.0,,,0001,255.19775
1420110000.0,,,0001,254.50049
1420113600.0,,,0001,254.14502
1420117200.0,,,0001,255.4126
1420120800.0,,,0001,256.3911
1420124400.0,,,0001,257.83447
1420128000.0,,,0001,259.2622
1420131600.0,,,0001,259.49268
1420135200.0,,,0001,257.5454
1420138800.0,,,0001,258.57666
1420142400.0,,,0001,257.80908
1420146000.0,,,0001,257.36768
1420149600.0,,,0001,257.6626
1420153200.0,,,0001,259.46338
1420156800.0,,,0001,260.95557
1420160400.0,,,0001,261.1001
1420164000.0,,,0001,260.66455
1420167600.0,,,0001,257.19385
1420171200.0,,,0001,258.80908
1420174800.0,,,0001,259.4497
1420178400.0,,,0001,260.7876
1420182000.0,,,0001,261.0415
1420185600.0,,,0001,263.51025
1420189200.0,,,0001,263.88525
1420192800.0,,,0001,264.0298
1420196400.0,,,0001,263.39697
1420200000.0,,,0001,255.14307
1420203600.0,,,0001,255.95557
1420207200.0,,,0001,256.70947
1420210800.0,,,0001,259.50635
1420214400.0,,,0001,262.96924
1420218000.0,,,0001,267.07275
1420221600.0,,,0001,266.063
1420225200.0,,,0001,265.24658
1420228800.0,,,0001,265.09424
1420232400.0,,,0001,254.65088
1420236000.0,,,0001,257.4419
1420239600.0,,,0001,259.56885
1420243200.0,,,0001,261.6001
1420246800.0,,,0001,264.52393
1420250400.0,,,0001,266.20752
1420254000.0,,,0001,266.4536
1420257600.0,,,0001,265.74072
1420261200.0,,,0001,265.4048
1420264800.0,,,0001,257.4458
1420268400.0,,,0001,261.91455
1420272000.0,,,0001,264.9126
1420275600.0,,,0001,266.46533
1420279200.0,,,0001,265.77002
1420282800.0,,,0001,266.99854
1420286400.0,,,0001,266.72705
1420290000.0,,,0001,265.5005
1420293600.0,,,0001,265.9458
1420297200.0,,,0001,263.4673
1420300800.0,,,0001,265.3755
1420304400.0,,,0001,264.9458
1420308000.0,,,0001,264.93604
1420311600.0,,,0001,265.03174
1420315200.0,,,0001,266.99854
1420318800.0,,,0001,267.2251
1420322400.0,,,0001,266.63525
1420326000.0,,,0001,266.16455
1420329600.0,,,0001,265.08252
1420333200.0,,,0001,265.29346
1420336800.0,,,0001,265.1665
1420340400.0,,,0001,264.99072
1420344000.0,,,0001,265.0786
1420347600.0,,,0001,266.09424
1420351200.0,,,0001,266.36377
1420354800.0,,,0001,266.1626
1420358400.0,,,0001,265.95947
1420362000.0,,,0001,255.16052
1420365600.0,,,0001,253.81091
1420369200.0,,,0001,253.68005
1420372800.0,,,0001,254.25427
1420376400.0,,,0001,255.62341
1420380000.0,,,0001,255.89685
1420383600.0,,,0001,257.016
1420387200.0,,,0001,257.69763
1420390800.0,,,0001,258.52185
1420394400.0,,,0001,257.80505
1420398000.0,,,0001,256.5277
1420401600.0,,,0001,255.60193
1420405200.0,,,0001,255.46912
1420408800.0,,,0001,256.84412
1420412400.0,,,0001,257.51013
1420416000.0,,,0001,258.70154
1420419600.0,,,0001,259.38513
