Model,Dataset,R²,RMSE,MAE,MAPE
RF_Basic,Train,0.8647668116955104,19.240401102244572,12.242447043324479,37.92563772112471
RF_Basic,Validation,-0.2112150769296508,33.275384757353436,26.76944060487075,150.0987851852399
RF_Basic,Test,-1.198227205833383,36.91438227211641,30.028555198906453,181.63153978303217
RF_Optimized,Train,0.7893822145882624,24.011539118739748,15.3939798727084,47.03779519119875
RF_Optimized,Validation,-0.16160390932564717,32.58678267260267,26.318980543670637,147.37486157866425
RF_Optimized,Test,-1.06524900345699,35.78042762616852,29.115413549981557,177.6571144849324
