Model,Dataset,R²,RMSE,MAE,MAPE
Transformer_Basic,Train,-0.00019347667694091797,51.73878010919372,35.57793045043945,138.4896
Transformer_Basic,Validation,-0.45812106132507324,35.97412366190714,31.91444969177246,232.41034
Transformer_Basic,Test,-0.7325966358184814,33.52571417199323,29.839502334594727,247.20764
Transformer_Optimized,Train,0.4633510708808899,37.898262761141176,26.93822479248047,94.71468
Transformer_Optimized,Validation,-0.04795193672180176,30.4974924526335,22.900035858154297,140.34836
Transformer_Optimized,Test,0.021737337112426758,25.191674882755166,18.584583282470703,121.692184
