parameter,count,mean,std,min,25%,50%,75%,max
u100_mean,120.0,0.8191751144966697,0.7684520380580208,-0.9010100407477248,0.28169766768404236,0.796248569223752,1.4517920238638302,2.4251270982249205
u100_std,120.0,1.8714180680956543,0.3958309852187892,1.0369168272782054,1.5464088508568368,1.8467803776376712,2.144983866618722,3.0320733075754593
u100_min,120.0,-4.000633550623349,1.3518925899045935,-8.582517501234568,-4.588872978703703,-3.9390681740123457,-3.114489898251234,-0.622615662345679
u100_max,120.0,6.373619064842078,1.8558501786858257,1.9515505300493825,5.097721902160494,6.545554066049383,7.490238421296296,11.653310154320987
u100_median,120.0,0.7748399294777774,0.7645923107753054,-0.9274343843172839,0.26515303806913576,0.7770876990608024,1.3887222948356481,2.4261718575925926
v100_mean,120.0,-0.15659440693874163,0.8343572900953466,-2.0741654061262658,-0.8036586609727869,-0.051140714069445675,0.5370914308588483,1.4459030817081953
v100_std,120.0,2.6345523254952554,0.5017953418719567,1.5680111809549595,2.3590170291877315,2.590361345818806,2.9444073428896096,3.778764941532426
v100_min,120.0,-7.837802153902262,1.624520522988068,-11.624701262962963,-9.117055609259259,-7.848603037037036,-6.895572359876543,-3.5186509576543212
v100_max,120.0,5.372039230753364,1.3807577711471777,2.421816216271605,4.43465315691358,5.127584953086419,6.422539848765432,8.489879211111111
v100_median,120.0,0.17987867478214922,0.8374738482040487,-1.9688359971975307,-0.4230467689274692,0.2294652964851852,0.852186558977392,1.5346437582919754
u10_mean,120.0,0.48831315168080364,0.45431817176498607,-0.5776592054139429,0.16057808355892111,0.49865749363107603,0.8685786932107573,1.4153650039052594
u10_std,120.0,1.1275763573503794,0.25013104686972615,0.6620622354370761,0.9233962902693654,1.0891888278659527,1.2991347429831668,1.891274843088035
u10_min,120.0,-2.5243496673263137,0.9262807868285157,-5.064254755555555,-3.1345391898148147,-2.4079155574074074,-1.8510935200895062,-0.6531225116049383
u10_max,120.0,4.330133151749341,1.3037024145740823,1.35018242845679,3.4882432333333333,4.518286241358025,5.168255990123456,8.030388714814814
u10_median,120.0,0.45215899953194655,0.43405105905857133,-0.5984671323456789,0.157719387676929,0.47079957729012345,0.7925790610277779,1.3395624019506172
