year_month,year,month,u100_mean,u100_std,u100_min,u100_max,u100_median,v100_mean,v100_std,v100_min,v100_max,v100_median,u10_mean,u10_std,u10_min,u10_max,u10_median,v10_mean,v10_std,v10_min,v10_max,v10_median,d2m_mean,d2m_std,d2m_min,d2m_max,d2m_median,t2m_mean,t2m_std,t2m_min,t2m_max,t2m_median,blh_mean,blh_std,blh_min,blh_max,blh_median,cvh_mean,cvh_std,cvh_min,cvh_max,cvh_median,lsm_mean,lsm_std,lsm_min,lsm_max,lsm_median,cvl_mean,cvl_std,cvl_min,cvl_max,cvl_median,avg_tprate_mean,avg_tprate_std,avg_tprate_min,avg_tprate_max,avg_tprate_median,mn2t_mean,mn2t_std,mn2t_min,mn2t_max,mn2t_median,sd_mean,sd_std,sd_min,sd_max,sd_median,str_mean,str_std,str_min,str_max,str_median,sp_mean,sp_std,sp_min,sp_max,sp_median,tisr_mean,tisr_std,tisr_min,tisr_max,tisr_median,tcwv_mean,tcwv_std,tcwv_min,tcwv_max,tcwv_median,tp_mean,tp_std,tp_min,tp_max,tp_median,date,wind_speed_10m,wind_speed_100m,season
201501,2015,1,1.2849557927503523,1.7509197255245892,-3.467284039012346,8.040552245679013,1.3469529245987655,-0.888288216674807,2.7498762209656857,-8.942154693827161,4.079100818518518,-0.46854862123641977,0.7413761436413534,1.0138098098476493,-1.953639278530864,5.478337981481482,0.7918098339506173,-0.5483537502545612,1.5270173108095408,-5.788968485185185,2.6190441777777775,-0.3319217076567902,-14.6360321916899,4.422719624629583,-24.418358024691358,-4.2506913580246914,-14.483296296296295,-4.106736625514403,3.9053187010467103,-12.683925925925925,7.710234567901234,-4.347703703703704,344.9972789999751,395.5354519772464,19.47114539506173,2245.7192407407406,146.13750366666667,0.3756253440246913,0.3147358277532786,0.0,0.9392191,0.32162476,0.9923874322222221,0.01684617552631164,0.91522515,1.0,0.9991063,0.6138246338518518,0.31688202347486505,0.060780883,0.9999548,0.6778302,9.388285425100633e-07,4.679612475783824e-06,0.0,6.140161443639684e-05,0.0,-4.430089157706093,3.677958161032081,-12.37811111111111,6.321432098765433,-4.961246913580247,0.0003577194789454318,0.0008363597072560615,0.0,0.0068969727,0.0,-304678.3106267424,97649.35369457254,-585931.0,-11290.0,-298370.5,96417.78756678946,531.6913643345971,95145.50462962964,97579.4274691358,96455.04466049382,637690.602947033,914391.1057988579,0.0,2779008.0,0.0,3.827387599355503,1.9137059496502313,1.1099706259259259,11.468232209876543,3.3610586950617285,0.025862548374401204,0.03788431407691077,0.0014,0.22105679012345678,0.009436363636363637,2015-01-01,0.9221336246872068,1.5621035001580386,Winter
201502,2015,2,1.4367779756312624,2.062291961971473,-4.2473238856790125,7.2791258320987655,1.3184784306358024,-0.9736371205136367,2.858846114626785,-7.732248577777777,4.222276858024692,-0.7418325933796297,0.8666324580441795,1.2315472901562046,-2.1561431955555554,4.821192051851852,0.7538836436234568,-0.5693768078113289,1.6501707534084658,-4.774402197530865,3.0716650716049383,-0.4955735379012346,-13.117747225896531,5.184409450250725,-27.753049382716046,-1.3142469135802468,-13.193000000000001,-1.7272293136390355,4.305391878794021,-12.317654320987655,11.13658024691358,-1.866956790123457,506.3844809954621,537.8836547290358,16.395918148148148,2529.991187654321,262.08450589814817,0.37562534402469133,0.31473582775327863,0.0,0.9392191,0.32162476,0.9923874322222224,0.01684617552631164,0.91522515,1.0,0.9991063,0.6138246338518518,0.316882023474865,0.060780883,0.9999548,0.6778302,2.8800195206757904e-06,1.0089585459179159e-05,0.0,9.144677056204651e-05,0.0,-2.314143206202234,4.180300184821807,-12.193246913580246,10.798,-2.8033271604938275,0.0002776820963248273,0.0005808055624706327,0.0,0.004927635,0.0,-320408.6180236442,113473.70794957186,-620114.06,-9136.0,-316560.0,96098.49450672398,608.5347577960117,94917.3813580247,97329.1251851852,96019.50395061729,857393.1522633745,1145024.0235134219,0.0,3391744.0,0.0,4.214060432684267,2.6011916325427644,0.6996489448148149,13.392672777777777,3.61038212654321,0.04523412167377844,0.06049723607418701,0.0014,0.32930987654320987,0.016995837187789083,2015-02-01,1.036938651323749,1.7355979354969153,Winter
201503,2015,3,1.1511666882474825,1.9747882325469914,-4.869281727160494,6.919430801234568,1.264681225293827,0.060732781352623395,3.3347733647812094,-9.522069137037036,7.367386441975309,0.3826228019654321,0.7014739119275698,1.2005803589402146,-3.246475217283951,4.735028490123456,0.7016416930061729,-0.08176045301699836,1.9831271565487305,-6.4874844000000005,5.133376503703704,0.042455976975308646,-10.159925743395725,7.7631776717217065,-27.56064197530864,7.836481481481481,-10.777413580246915,5.713337747245454,6.593610581274881,-9.523617283950617,20.38074074074074,5.555993827160494,656.9250987540986,761.220083240932,23.454567987654322,3490.7672888888887,197.96799479012347,0.3756253440246913,0.3147358277532786,0.0,0.9392191,0.32162476,0.9923874322222221,0.01684617552631164,0.91522515,1.0,0.9991063,0.6138246338518518,0.31688202347486505,0.060780883,0.9999548,0.6778302,1.6820825587920446e-06,1.0135373595676509e-05,0.0,0.00012348021989984362,0.0,4.170597819593787,6.499640793166113,-9.27888888888889,19.59462962962963,3.6658580246913584,4.6441236307903554e-05,0.00024325555719844223,0.0,0.003894806,0.0,-355252.88854746614,125647.28290700179,-715798.7,16365.0,-336223.54000000004,95903.75073153127,607.6178031083227,94655.59703703703,97299.08487654322,95782.80864197531,1155795.2348333998,1415223.5841637752,0.0,4015744.0,73472.0,5.718683605972056,4.384228327847468,0.9485467987654321,25.234837962962963,4.42657605617284,0.07486986812652081,0.09811058185102588,0.0014,0.45005249999999997,0.023,2015-03-01,0.7062226425090835,1.1527676326395975,Spring
201504,2015,4,1.2201617259731286,2.11680159969567,-3.731638959074074,7.079767280246913,1.1913074446419754,0.11942255204172957,3.523608471204432,-10.20204405925926,6.73596719382716,0.831159052095679,0.7190318036234575,1.307007282212202,-2.595517944814815,4.959453828395062,0.7843900108148149,-0.027105993720059333,2.0970714773767236,-6.706950609876543,4.407833313580247,0.29992412195432094,-0.3689612825788754,6.258805378915728,-16.331716049382717,13.0609012345679,-0.46575308641975305,12.77228878600823,6.835974113601811,-2.0497654320987655,29.44967901234568,12.078265432098764,746.9783670109567,805.1893198368597,24.473145679012344,3913.9023703703706,384.14302172839507,0.37562534402469133,0.31473582775327863,0.0,0.9392191,0.32162476,0.9923874322222223,0.016846175526311645,0.91522515,1.0,0.9991063,0.6138246338518518,0.316882023474865,0.060780883,0.9999548,0.6778302,1.1112685066190328e-05,4.708018989911843e-05,0.0,0.0005410777197943358,0.0,11.101334053497943,6.999814427062912,-2.7342222222222223,28.756555555555554,10.526932098765432,7.044793160231482e-05,0.00040906376117913045,0.0,0.008645058,0.0,-335808.93247843796,143306.02310542698,-758991.0,17873.0,-314518.0,95454.46423473938,671.259513395096,93602.70197530864,97084.28703703704,95368.27391975309,1447289.8370370371,1626076.9922591934,0.0,4388608.0,493696.0,9.688653347405692,5.010794551747358,2.1832715901234567,23.590649716049384,8.094945685185184,0.14971621080231032,0.27574993898268024,0.0014,1.947795061728395,0.047442063492063494,2015-04-01,0.7195425418399903,1.2259919997560684,Spring
201505,2015,5,1.3848592178160968,2.139588465216875,-4.72725912345679,6.989282508641975,1.4120309180493829,0.30767790790632576,3.58539575713441,-9.10393738271605,6.567787813580248,0.8708109960246914,0.8178907171628226,1.3200462434999496,-2.611830730617284,4.805955669135803,0.7973576314691357,0.1729557469002005,2.144205819740009,-6.335008401234568,4.658617922222222,0.36560416329012346,4.940385221691225,6.329721065804433,-14.072814814814814,16.051395061728396,5.014043209876543,18.550818681136334,5.925049729169816,5.835555555555556,32.39517283950617,18.613444444444447,831.8468797945458,861.1561682927301,25.598162777777777,3939.5313888888886,452.9474434814815,0.3756253440246913,0.3147358277532786,0.0,0.9392191,0.32162476,0.9923874322222221,0.01684617552631164,0.91522515,1.0,0.9991063,0.6138246338518518,0.31688202347486505,0.060780883,0.9999548,0.6778302,1.8903318746587804e-05,6.233768841562397e-05,0.0,0.0007927712099051309,0.0,17.03272442917828,6.283008359667924,4.906728395061728,31.809753086419754,17.08262962962963,4.770574420444212e-05,0.0005384912003545884,0.0,0.0146512985,0.0,-336700.19180351455,145677.2063135348,-730746.8,3658.0,-320932.6,94849.0829458715,516.0001338135309,93467.31635802469,95830.375,94894.29638888889,1650434.5997610514,1732770.1456537026,0.0,4543232.0,993600.0,14.238122019505843,6.517427584729644,3.0522042370370372,37.058577654320985,13.936647598148149,0.2549967066777649,0.36818102892037563,0.0019,2.853901234567901,0.0838920138888889,2015-05-01,0.8359778200448398,1.418626359611235,Spring
201506,2015,6,0.5019883694285094,2.1349350716224333,-4.374099723456791,6.932463279012346,0.34704062098518523,-0.1478290656938445,2.610519239473476,-8.346485871604939,5.274952479012345,0.07927006601234568,0.30320763623916186,1.2988813655193245,-3.1283192555555557,4.880892160493827,0.20370615465617287,-0.1330038756514839,1.622238517540738,-5.857760598765432,3.570081729629629,-0.07577816368518518,12.365201851851852,4.310647112715645,-3.0030123456790125,19.93288888888889,12.54719135802469,21.928798148148147,4.044540889518953,11.25911111111111,30.55424691358025,22.011641975308642,701.5027313638803,757.4507692610338,24.722826024691358,3282.204108641975,372.2268893333333,0.37562534402469133,0.31473582775327863,0.0,0.9392191,0.32162476,0.9923874322222223,0.016846175526311645,0.91522515,1.0,0.9991063,0.6138246338518518,0.316882023474865,0.060780883,0.9999548,0.6778302,2.3157796496714262e-05,5.196761126660372e-05,0.0,0.00043651351222281844,2.624811949553313e-06,20.921772908093278,4.237676517866778,11.190296296296296,30.5011975308642,20.796074074074077,0.0,0.0,0.0,0.0,0.0,-264763.94720515265,125892.92144776425,-735290.0,9756.0,-245012.0,94611.60542138202,398.0740985720047,93827.30074074073,95614.8024691358,94659.71228395062,1733341.4013717421,1760621.1563941403,0.0,4561536.0,1199552.0,25.936823549269548,8.332304198588153,7.28186306419753,45.22286830864198,24.26785782716049,0.17334561597069234,0.2632794347337977,0.0014,2.3721945945945944,0.07821275303643724,2015-06-01,0.3310965140439496,0.5233027381023423,Summer
201507,2015,7,-0.6714932591254293,1.2477865116643394,-3.315969790123457,2.7758071320987656,-0.718594020919753,0.6042099377108181,1.9516146284116276,-6.012868803703704,4.774726786419754,0.7947627813333333,-0.388392110000868,0.7784222476410192,-2.243925869506173,1.9976491958024691,-0.4105480798938272,0.2949202111074237,1.2505655925721504,-4.331685369135803,3.101232274814815,0.28330965512345674,17.313581856498075,3.4668904688169095,6.324283950617285,23.47748148148148,18.029475308641977,23.98109338908801,3.7835560596210223,14.690555555555555,35.80844444444444,23.139549382716048,538.6416975933558,637.7804821043475,22.667504419753087,3413.5782641975306,240.4076071728395,0.3756253440246913,0.3147358277532786,0.0,0.9392191,0.32162476,0.9923874322222221,0.01684617552631164,0.91522515,1.0,0.9991063,0.6138246338518518,0.31688202347486505,0.060780883,0.9999548,0.6778302,6.45395481584808e-05,0.00011998965306053603,0.0,0.000955304981749688,9.193096631838953e-06,23.124838328023365,3.9787195325861164,14.201320987654322,35.52253086419753,22.50870987654321,0.0,0.0,0.0,0.0,0.0,-210444.58768201582,126160.51709130548,-771970.75,11035.0,-190053.97,94735.79629554958,331.39312817690393,93912.2174074074,95535.56654320989,94749.05691358024,1686886.2062923138,1740799.4968122917,0.0,4550656.0,1078144.0,33.66651899182762,7.584926708470448,14.979800932098765,50.98164519753087,34.6294692345679,0.37345882608471553,0.5002463951643796,0.0014,3.4437912499999994,0.15645833333333334,2015-07-01,0.48767444266700477,0.9033121530674774,Summer
201508,2015,8,0.15870919060027017,1.2949807128702813,-3.008380464814815,3.1631209840000003,0.0829343423388889,0.12719149052949674,1.7671390489876575,-4.70236208271605,4.644192156790123,0.03852053094444445,0.12972129448425573,0.7898963757070631,-2.3044800955555558,2.0845947325802467,0.14614001610246913,0.012294635803855697,1.0670739252421975,-2.5459794427160496,3.3389692814814813,-0.13394438367901237,17.429108489313684,1.937459171111397,12.141012345679012,21.605444444444444,17.429197530864197,22.94656381919554,3.8798184970080034,15.517086419753086,32.5040987654321,22.36761111111111,448.87548333955596,528.5334928223988,20.82784449382716,2079.802349753086,140.7125761111111,0.3756253440246913,0.3147358277532786,0.0,0.9392191,0.32162476,0.9923874322222221,0.01684617552631164,0.91522515,1.0,0.9991063,0.6138246338518518,0.31688202347486505,0.060780883,0.9999548,0.6778302,4.350018069260319e-05,8.399643128201683e-05,0.0,0.0005445745256211857,2.735190921359413e-06,22.140846923536436,3.9004469355803413,14.710814814814816,31.987419753086417,21.588296296296296,0.0,0.0,0.0,0.0,0.0,-225239.51323504912,104621.7425322929,-766937.94,18700.625,-206951.81,94951.15017448227,308.90323184631194,94201.16802469135,95554.9675925926,94991.84123456791,1518654.8594185584,1660376.2594767555,0.0,4434816.0,748672.0,29.43187043056053,5.9595589143167755,15.278460555555556,54.001029839506174,29.621822851851853,0.3102849847090049,0.39106108759385566,0.0014,2.175209589041096,0.14769266233766232,2015-08-01,0.13030261820938382,0.20338702624333724,Summer
201509,2015,9,0.050876038634775286,1.7311335549981401,-3.51739050654321,8.039286467901235,-0.014344390770370377,0.23580123594859084,2.480785837424151,-10.562296365432099,5.748474875308641,0.5415698418271604,0.06224573741031193,1.0134682175214067,-2.40300835962963,4.786779125925926,0.0732156262345679,0.04373022853047349,1.4450548353186687,-6.124654502469135,4.1190106191358025,0.07435824643209876,12.476991100823044,3.197093678219244,-1.3550864197530865,18.255666666666666,12.910728395061728,17.644372325102882,4.063189588360184,8.66674074074074,28.078975308641976,17.27016049382716,426.21809072420274,493.99936367199143,19.648783037037038,2183.239197530864,205.28407036419753,0.37562534402469133,0.31473582775327863,0.0,0.9392191,0.32162476,0.9923874322222223,0.016846175526311645,0.91522515,1.0,0.9991063,0.6138246338518518,0.316882023474865,0.060780883,0.9999548,0.6778302,4.0479008471191654e-05,9.205371768095225e-05,0.0,0.0006226404213610519,6.806703261387201e-07,16.837390380658437,3.8733554604719584,9.001407407407408,26.57522222222222,16.33856790123457,7.648036394032922e-08,4.687613001972988e-06,0.0,0.00036239624,0.0,-221831.6905673954,121977.94119139656,-612244.0,14712.0,-213834.905,95600.65952769203,402.93992400472473,94816.99209876542,96911.10320987654,95544.21527777778,1259931.344855967,1490513.4516665505,0.0,4129536.0,256000.0,22.976852995197188,6.7308681895199385,7.519259022222221,39.41701556790123,22.695269876543207,0.2811775670695806,0.40310430260253777,0.0014,2.241486419753086,0.07913317972350231,2015-09-01,0.0760714447942258,0.2412272666637214,Autumn
201510,2015,10,1.5561113306863297,2.4047877877299966,-4.059603074074074,7.16800584074074,1.4005846602222223,-0.7413542917761107,2.84202045048827,-9.456137192592593,4.317670845679012,-0.10969731922839507,0.907646035114152,1.429762276594938,-2.9640653602469134,4.732216145679012,0.8046255228246914,-0.4747993237114425,1.6175310241918344,-6.53421868765432,2.9599313709876545,-0.18602442123456792,2.4842842658967212,5.9638296942091165,-11.101296296296297,13.617888888888888,4.158574074074074,11.327022949024293,5.407354646742271,-0.6307654320987655,24.208086419753087,10.74787037037037,512.0036404204086,591.2307501176275,20.80899035802469,2852.5464666666667,251.89031124074074,0.3756253440246913,0.3147358277532786,0.0,0.9392191,0.32162476,0.9923874322222221,0.01684617552631164,0.91522515,1.0,0.9991063,0.6138246338518518,0.31688202347486505,0.060780883,0.9999548,0.6778302,8.660486442987806e-06,3.0487568344130247e-05,0.0,0.00032883808936596756,0.0,10.462640697597239,5.334164524269341,-1.0032592592592593,23.236925925925927,9.804148148148148,1.984922498742201e-05,0.00017569736952142487,0.0,0.006916046,0.0,-286214.3586915738,126408.71782759191,-599747.0,15181.3125,-289803.0,95936.31058227134,449.2087914375315,94895.07851851851,97166.83777777776,95851.20611111113,958963.3771405815,1239095.979803941,0.0,3607040.0,1856.0,12.37948797021771,5.307111581484398,3.891048759259259,23.884486555555554,12.50905938580247,0.15781850279561463,0.19505668559965472,0.0014,1.1838444444444445,0.10116744186046511,2015-10-01,1.0243318421562828,1.7236846171574538,Autumn
