Model,Validation RMSE,Validation MAE,Validation R²,Test RMSE,Test MAE,Test R²,Best Parameters
SVR-RBF,30.14664579796955,23.288632817389054,0.007101729168375814,32.777294559293416,25.7809479165605,-0.7320496618910433,"{'C': 10, 'epsilon': 0.2, 'gamma': 'scale'}"
SVR-Linear,27.098077164478056,21.53707906282744,0.1977611162471692,25.800983885444435,22.008931723857373,-0.07321483454400801,"{'C': 1, 'epsilon': 0.2}"
SVR-Poly,27.890438996409657,22.187579237532876,0.15015943348018235,39.84955824497088,24.035120969110693,-1.560124906906423,"{'C': 1, 'epsilon': 0.2, 'gamma': 'scale'}"
