Model,Residual_Mean,Residual_Std,Ljungbox_pvalue,JarqueBera_statistic,JarqueBera_pvalue
Basic,0.7928305108989254,45.55966297423376,0.002755993282444958,103748.40231332544,0.0
Optimized,0.6733818937923762,41.03030351871354,0.22539534183950574,9584.315256850006,0.0
