parameter,count,mean,std,min,25%,50%,75%,max
days,120.0,30.441666666666666,0.8074842489639844,28.0,30.0,31.0,31.0,31.0
u100_mean,120.0,0.8191751203422124,0.7684520450655674,-0.9010100960731506,0.28169767186045647,0.7962485253810883,1.4517920017242432,2.425126791000366
u100_std,120.0,1.5638304005066554,0.3745665845892199,0.8109521865844727,1.2618146538734436,1.5446870923042297,1.8197677433490753,2.6391501426696777
u100_min,120.0,-2.2014281403273346,0.9464838024319218,-6.968929290771484,-2.6879473328590393,-2.0922590494155884,-1.6076321303844452,0.05200456082820892
u100_max,120.0,4.185818422834078,1.4334698514624535,1.03688383102417,3.188225746154785,4.218798875808716,5.013540863990784,8.234909057617188
u100_median,120.0,0.7717883305313686,0.7924066604076075,-1.0469692945480347,0.21999233588576317,0.7826468348503113,1.4051457047462463,2.4926981925964355
v100_mean,120.0,-0.156594406444007,0.83435729704455,-2.0741653442382812,-0.8036587089300156,-0.051140712574124336,0.5370914340019226,1.4459031820297241
v100_std,120.0,2.0851374397675198,0.43287871353860385,1.170907974243164,1.7997066974639893,2.0700018405914307,2.3188647031784058,3.0191404819488525
v100_min,120.0,-5.063793995479743,1.3356033562107963,-8.2837553024292,-5.997309684753418,-5.16520357131958,-4.472687482833862,-0.895285427570343
v100_max,120.0,3.2007760499914486,1.0679648954550334,0.8500826954841614,2.436633825302124,3.1473166942596436,3.95372611284256,5.8393683433532715
v100_median,120.0,0.15993668519804488,0.8941297267162671,-2.200571060180664,-0.5031869858503342,0.21932297199964523,0.8834823369979858,1.9565011262893677
u10_mean,120.0,0.4883131579686354,0.4543181777362612,-0.5776591897010803,0.16057808697223663,0.4986574649810791,0.8685786873102188,1.4153649806976318
u10_std,120.0,0.9189410522580147,0.2287953129437014,0.5086831450462341,0.7255144268274307,0.8878669440746307,1.0566854178905487,1.609889268875122
u10_min,120.0,-1.2705344113366057,0.58409067729946,-3.923905611038208,-1.6196981072425842,-1.2440882921218872,-0.853325605392456,-0.00455174595117569
u10_max,120.0,2.479369400938352,0.8621896152945838,0.6216780543327332,1.8434346318244934,2.484795928001404,3.0124570727348328,5.115272521972656
u10_median,120.0,0.47028459526676064,0.4747748129648022,-0.600424587726593,0.14453202486038208,0.49797530472278595,0.8464567512273788,1.4728870391845703
v10_mean,120.0,-0.1615988030990896,0.47938090931797434,-1.1962939500808716,-0.5487053841352463,-0.11363306269049644,0.20315808802843094,0.8384029269218445
v10_std,120.0,1.1681669841210047,0.2506527410980925,0.6856595277786255,0.9867405742406845,1.1640117168426514,1.3150818943977356,1.7179628610610962
v10_min,120.0,-2.955024890601635,0.8168156556816674,-5.077324390411377,-3.493059992790222,-2.998809814453125,-2.5712737441062927,-0.6878559589385986
v10_max,120.0,1.736924013743798,0.6677060307232441,0.35494235157966614,1.2278514206409454,1.7584152817726135,2.220581352710724,3.632446050643921
v10_median,120.0,0.019934691329641888,0.4897810102403483,-1.1740808486938477,-0.3450271040201187,0.01778120594099164,0.415145143866539,0.9255638718605042
d2m_mean,120.0,1.0451695864399275,12.38813732906525,-19.581464767456055,-9.833807706832886,-0.035154134035110474,12.462181806564331,21.572895050048828
d2m_std,120.0,4.642343211174011,1.4354986283541136,1.5648425817489624,3.642729699611664,4.7531232833862305,5.622122168540955,8.245617866516113
d2m_min,120.0,-8.758557001749674,13.7671233374122,-34.993255615234375,-19.526947021484375,-10.583724975585938,3.1763839721679688,17.8477783203125
d2m_max,120.0,9.220833841959635,10.729146752807662,-12.531005859375,0.05025482177734375,10.951614379882812,18.321189880371094,25.34375
d2m_median,120.0,1.2924434026082356,12.588088141307178,-19.76544952392578,-9.915061950683594,0.8994064331054688,13.109840393066406,22.14556884765625
t2m_mean,120.0,10.709799068669478,11.081244749246352,-8.119877815246582,0.5547473281621933,11.927205562591553,20.894236087799072,25.813478469848633
t2m_std,120.0,3.1783351570367815,1.040861193217908,1.4026628732681274,2.41061794757843,2.9507659673690796,3.788441240787506,5.823056221008301
t2m_min,120.0,4.075625864664714,11.855065566710337,-19.768997192382812,-7.134040832519531,4.95697021484375,15.176528930664062,21.46246337890625
t2m_max,120.0,16.60979741414388,10.624207101774545,-3.33599853515625,8.117622375488281,19.097030639648438,26.209014892578125,30.335662841796875
t2m_median,120.0,10.845895131429037,11.089888820576547,-7.501312255859375,0.2694740295410156,11.554412841796875,20.821353912353516,26.2178955078125
blh_mean,120.0,526.9498170216879,163.39976869142615,239.14202880859375,411.5784454345703,476.70335388183594,658.2414245605469,942.0569458007812
blh_std,120.0,215.23688208262126,74.56166758860445,75.85547637939453,151.97234344482422,227.36024475097656,265.2342300415039,393.3585205078125
blh_min,120.0,227.2000509262085,90.56601014795754,69.4299545288086,153.13457870483398,207.29795837402344,283.1077880859375,536.6435546875
blh_max,120.0,1115.6038162231446,328.44711808398,518.5570678710938,822.4188385009766,1132.5403442382812,1333.4087524414062,2018.3460693359375
blh_median,120.0,478.4988169352213,166.08492292483209,185.59226989746094,367.0133361816406,450.2318115234375,601.9839782714844,946.522216796875
cvh_mean,120.0,0.3756253992517789,8.271463302159614e-09,0.3756253719329834,0.3756254017353058,0.3756254017353058,0.3756254017353058,0.3756254017353058
cvh_std,120.0,5.712111790974935e-08,8.271463302159615e-09,2.9802322387695312e-08,5.960464477539063e-08,5.960464477539063e-08,5.960464477539063e-08,5.960464477539063e-08
cvh_min,120.0,0.375625342130661,0.0,0.375625342130661,0.375625342130661,0.375625342130661,0.375625342130661,0.375625342130661
