Model,Dataset,R²,RMSE,MAE,MAPE
LightGBM_Basic,Train,0.9583311557890968,10.633857245412035,7.097590418222433,22.62125849843526
LightGBM_Basic,Validation,0.7079509357732671,16.299477397662905,11.03166575099205,59.55334428167991
LightGBM_Basic,Test,0.6779243338431082,14.14171647202951,9.636915705011875,59.23074501007834
LightGBM_Optimized,Train,0.9108350374157727,15.555436934619085,9.137980508035398,25.234423542278872
LightGBM_Optimized,Validation,0.7240982811376648,15.84247292579704,10.620632603510986,58.09773870969535
LightGBM_Optimized,Test,0.6974430223903516,13.70650584163296,9.304824113278146,55.98442515737002
