Feature,MLR_Coefficient,Ridge_Coefficient
d2m,58.1770579665463,57.3817286017888
t2m,-37.70687488991125,-37.14759613164419
wind_speed_10m,3.6144550238833855,3.5985443221351456
tcwv,-30.946629197296012,-30.67120036458091
tp,-2.369850934205475,-2.370181171800949
blh,-14.414133150532972,-14.50632158368508
sp,-13.587524713538574,-13.543426105828713
month,-3.43502025641376,-3.420607675022504
season,-7.864303395647449,-7.822557533658187
