Model,Train R²,Train RMSE,Train MAE,Test R²,Test RMSE,Test MAE
MLR,0.1963254075880111,45.229823861981885,31.8452573578804,-0.4177399397714363,33.38313001423691,27.935939818876623
Ridge,0.19631531159160487,45.230107956259204,31.83456667709742,-0.41466954221888885,33.346961520376254,27.911679985363026
