Date,Mean,Median,Min,Max,Std Dev,Sample Count
20150101,47.81904640116917,44.15142857142857,14.64411764705882,118.29142857142857,34.05581869472232,23
20150102,67.40683473389356,60.512521008403354,22.841176470588238,137.96285714285716,39.80407580084967,24
20150103,171.4050100797895,156.48714285714289,143.51142857142855,244.8147058823529,34.14141473277726,24
20150104,202.4115574998939,194.4611344537815,121.86874999999999,276.33714285714285,48.384777528028266,24
20150105,111.9745663253999,155.74568311195443,6.622857142857143,237.4085714285714,89.58667432552403,24
20150106,34.02132904677023,20.14331550802139,6.5371428571428565,110.12941176470588,32.591215826815734,24
20150107,75.79840446216366,64.8922767857143,46.53823529411765,114.61470588235295,23.835127761124088,24
20150108,145.14351193684954,124.80285714285714,96.31428571428572,241.87941176470588,44.961958799370464,24
20150109,87.55524743230626,46.925,16.55454545454546,234.8794117647059,78.8568527896696,24
20150110,178.77188725490194,193.9085714285714,96.67142857142858,219.68529411764706,38.284973839314205,24
20150111,46.90637955182073,30.251470588235293,11.21142857142857,115.69428571428573,34.682164051661125,24
20150112,118.2177690773279,113.82463203463203,90.86571428571429,155.53714285714284,19.315336375260674,24
20150113,162.0896638655462,151.50142857142856,129.65142857142857,230.82285714285712,31.988548998284607,24
20150114,222.69264683998597,230.94714285714286,181.60285714285712,270.72285714285715,27.545457217474674,24
20150115,333.97174591901154,323.8064867424242,253.79142857142855,418.30857142857144,62.0502369576385,24
20150116,107.4605626445654,16.082424242424242,8.549999999999999,407.5088235294118,150.97403764522969,24
20150117,64.60261904761904,51.25714285714285,15.582857142857142,141.45714285714286,46.88255230549329,24
20150118,85.75083333333333,123.12,9.954285714285716,156.2714285714286,60.91394753019965,24
20150119,48.17567622124608,46.015719696969704,10.06,100.55142857142857,28.499835343812062,24
20150120,94.5903606442577,87.91289915966385,76.81714285714287,135.70000000000002,17.938255988351525,24
20150121,25.90402203623385,14.46294930875576,9.502857142857144,95.09428571428572,22.117369052459672,24
20150122,116.19714985994398,106.05428571428571,66.33529411764707,199.93428571428572,48.394762315701676,24
20150123,212.2205202232408,200.33550420168066,181.71428571428572,282.2257142857143,31.4439508107577,24
20150124,107.70761904761905,90.71142857142857,64.81142857142859,266.8285714285714,51.050378789620524,24
20150125,133.08264005602243,130.23756302521008,85.9057142857143,211.96857142857144,40.655770134706316,24
20150126,107.74069897607137,60.172311827956996,7.888235294117648,230.31142857142856,102.58040647380567,24
20150127,19.996656905186317,11.779411764705882,8.447058823529412,65.79142857142857,17.712939043622914,24
20150128,46.19519957983193,34.47861344537816,22.238235294117644,112.48235294117647,26.638112158429568,24
20150129,68.69924108469145,89.61714285714285,9.688571428571429,128.73714285714286,46.513167338928135,24
20150130,14.45485644257703,11.385714285714286,9.042857142857143,30.108571428571434,6.299538813533233,24
20150131,38.5043137254902,24.74857142857143,19.388571428571424,117.11428571428571,30.12747892091378,24
20150201,96.35403011204482,94.39857142857142,51.28,161.24,32.38998836978155,24
20150202,156.93377100840337,161.25285714285712,129.4088235294118,185.36571428571432,17.179685327567785,24
20150203,122.04961092012563,148.98999999999998,13.422857142857143,218.44411764705885,71.21379254391029,24
20150204,10.69016806722689,10.28857142857143,7.88,15.547058823529412,1.8957167904911132,24
20150205,31.218988095238092,24.37857142857143,10.028571428571427,91.71714285714285,24.426364934902168,24
20150206,90.0345628554452,89.19142857142857,49.33714285714286,134.2942857142857,22.754554973422987,24
20150207,17.33406162464986,9.537142857142857,6.348571428571429,116.37142857142855,24.893659147409895,24
20150208,26.017573529411766,13.615714285714287,7.177142857142858,92.78529411764707,26.371695885872263,24
20150209,116.76097254053137,106.15420168067226,90.08857142857141,188.24571428571426,30.502792877839077,24
20150210,139.03304483914778,142.82,87.51176470588234,194.13142857142853,32.10930729745279,24
20150211,54.83004907522638,31.740552584670237,16.71764705882353,140.51999999999998,42.118817040836056,24
20150212,36.66274269082633,30.375714285714285,13.165714285714285,89.2,21.171397960620983,24
20150213,132.64408278407893,112.6938508064516,88.39714285714285,244.59117647058818,52.19197498745091,24
20150214,245.89809523809524,235.71714285714285,189.53714285714287,333.83714285714285,44.81610415068666,24
20150215,283.81972656602966,292.1385714285715,218.79714285714286,342.4142857142857,35.39543715178235,24
20150216,130.6458481811285,141.42811942959005,14.56764705882353,242.62571428571428,102.26964309251984,24
20150217,28.678000000000004,29.155714285714282,23.89714285714286,34.314285714285724,4.033132631201419,10
20150218,60.87142857142857,30.885714285714286,14.685714285714285,193.42857142857142,56.632630173380825,24
20150219,225.71,212.63,135.14,408.6828571428572,86.01334883709704,24
20150220,145.31429621848739,144.64361344537815,114.85714285714286,191.87999999999997,23.91480589148204,24
20150221,163.03612010334436,184.37714285714284,28.22941176470588,276.0970588235294,82.5584340261758,24
20150222,47.4984768907563,44.77924369747899,17.344117647058823,96.81176470588234,26.227555792089824,24
20150223,60.48107142857143,41.24142857142857,28.62857142857143,190.22285714285715,48.42334681367129,24
20150224,153.41833333333332,140.87,110.33428571428573,222.5971428571428,35.85801145088049,24
20150225,75.57583322723029,18.383823529411764,11.244117647058824,221.72285714285715,89.06750760780086,24
20150226,15.068902582813429,13.563547237076648,9.92121212121212,24.55714285714286,4.422988510609232,24
20150227,11.955844155844158,10.677142857142856,8.020000000000001,17.294285714285717,2.977046163397227,11
20150301,61.08571428571429,61.08571428571429,57.94285714285714,64.22857142857143,4.444671196029724,2
20150302,61.35589805619217,77.14285714285714,8.374285714285714,119.0,36.42505341980999,24
20150303,8.398643828713059,7.981428571428571,5.637142857142858,12.371428571428572,2.1017490435298622,24
