Model,Dataset,R²,RMSE,MAE,MAPE
CNN_Basic,Train,0.9534338712692261,11.141106422583707,8.156721115112305,27.90578
CNN_Basic,Validation,-3.964351177215576,67.38920304841125,27.559978485107422,181.18088
CNN_Basic,Test,-0.19269120693206787,27.254425529397974,19.388809204101562,123.594406
CNN_Optimized,Train,-1.1012661457061768,74.84001491201916,49.90129470825195,179.66174
CNN_Optimized,Validation,-0.6824594736099243,39.23117955426207,23.60263442993164,135.66953
CNN_Optimized,Test,0.22684085369110107,21.943579719771538,16.839513778686523,97.03531
