city,year,pm25
南京,2018,45.815371435124554
南通,2018,37.746796621718886
台州,2018,25.87916461191615
合肥,2018,46.13583890523058
嘉兴,2018,39.042189951716246
宁波,2018,28.7376952448488
安庆,2018,35.515611284731904
宣城,2018,33.62535771343351
常州,2018,46.77616444463315
扬州,2018,47.04855384122985
无锡,2018,44.22050812826933
杭州,2018,30.427331942546218
池州,2018,32.09594806581333
泰州,2018,45.52059495288478
温州,2018,24.405731018445177
湖州,2018,37.35014661257498
滁州,2018,47.701628456560506
盐城,2018,40.29714301772462
绍兴,2018,31.945856979573488
舟山,2018,26.45373175511906
芜湖,2018,43.69978581810647
苏州,2018,40.67122270135412
金华,2018,29.28286777085884
铜陵,2018,42.74778233869174
镇江,2018,48.35070220442064
马鞍山,2018,45.8701247202939
南京,2019,41.79818855800974
南通,2019,35.641781466026
台州,2019,24.34576902392866
合肥,2019,43.300833534561384
嘉兴,2019,35.97091966577479
宁波,2019,27.105627430980228
安庆,2019,35.383338149297074
宣城,2019,32.60892044309955
常州,2019,42.52721302491015
扬州,2019,43.283940512630856
无锡,2019,40.07036128636196
杭州,2019,29.524251328731687
池州,2019,31.958922448618967
泰州,2019,41.80671788476274
温州,2019,22.891525635857548
湖州,2019,35.04436615172483
滁州,2019,45.30742702219947
盐城,2019,39.089590390411395
绍兴,2019,30.457654251527522
舟山,2019,26.58069702262309
芜湖,2019,41.863819517586236
苏州,2019,37.067282566187885
金华,2019,27.611708758930575
铜陵,2019,41.93234814791052
镇江,2019,43.40252603344644
马鞍山,2019,42.089521205630795
南京,2020,34.55716717357101
南通,2020,31.24679642463005
台州,2020,21.66199406912937
合肥,2020,36.04084527075577
嘉兴,2020,29.750297691757616
宁波,2020,22.886619241409246
安庆,2020,29.800150774388833
宣城,2020,27.610732146173405
常州,2020,36.38350460315909
扬州,2020,37.16892955016315
无锡,2020,34.07089528795556
杭州,2020,25.239680052357908
池州,2020,27.336434238806326
泰州,2020,35.996863668399186
温州,2020,20.892776471687938
湖州,2020,29.247338088040454
滁州,2020,37.79658110830759
盐城,2020,33.98491655826199
绍兴,2020,25.31701014557247
舟山,2020,23.12487601474743
芜湖,2020,33.477862098279786
苏州,2020,32.00701636633869
金华,2020,24.14018415672107
铜陵,2020,33.392112919992236
镇江,2020,36.81562927087683
马鞍山,2020,34.72823351210561
南京,2021,32.006162059601685
南通,2021,28.868684828475462
台州,2021,21.061486921213916
合肥,2021,33.383727577929285
嘉兴,2021,27.342507115078742
宁波,2021,21.679127072173586
安庆,2021,28.625670320711645
宣城,2021,26.330270429438414
常州,2021,33.44283956591126
扬州,2021,33.84659065056783
无锡,2021,30.92675614859934
杭州,2021,24.452519115013413
池州,2021,26.110048001082145
泰州,2021,32.68555149466245
温州,2021,21.122072159338877
湖州,2021,27.416575867968003
滁州,2021,34.75952031271159
盐城,2021,30.993463868262783
绍兴,2021,24.16632461196174
舟山,2021,18.172911064998104
芜湖,2021,31.674369185111352
苏州,2021,28.66467211543723
金华,2021,23.251013117220054
铜陵,2021,31.61706538628935
镇江,2021,34.30070223899268
马鞍山,2021,33.19550182644663
南京,2022,30.57698558857649
南通,2022,24.91696649429724
台州,2022,19.500000368069255
合肥,2022,33.08861635162721
嘉兴,2022,26.866981510974647
宁波,2022,20.300394000279802
安庆,2022,27.883797060339706
宣城,2022,25.895444648024927
常州,2022,31.739565754668487
扬州,2022,31.514639148657285
无锡,2022,29.741041787507857
杭州,2022,23.02809389393264
池州,2022,27.72462412241449
泰州,2022,30.448330364801013
温州,2022,19.058207165169893
湖州,2022,26.903702054903682
滁州,2022,32.139307225232805
盐城,2022,27.57785972172782
绍兴,2022,23.859910827560356
舟山,2022,15.69298776998529
芜湖,2022,32.771181033457474
苏州,2022,27.18025567613799
金华,2022,22.58467580706526
铜陵,2022,33.20288278263629
镇江,2022,32.39110611905955
马鞍山,2022,32.238281875334934
南京,2023,31.761302019775993
南通,2023,27.95489003484936
台州,2023,21.416494507061348
合肥,2023,33.567434863477985
嘉兴,2023,29.27903003178517
宁波,2023,22.15660553705795
安庆,2023,28.69821401322681
宣城,2023,27.019834886943006
常州,2023,32.90015413718455
扬州,2023,33.255424707386574
无锡,2023,31.3948202492239
杭州,2023,24.6615155101038
池州,2023,27.95439383613393
泰州,2023,32.490497030880114
温州,2023,21.057433411996406
湖州,2023,28.655762633818245
滁州,2023,32.94765693072898
盐城,2023,29.906648918286265
绍兴,2023,25.531081643638977
舟山,2023,18.655043626724815
芜湖,2023,33.08110404420279
苏州,2023,30.35828952479426
金华,2023,24.76449993398512
铜陵,2023,32.86613644819437
镇江,2023,33.91147661476692
马鞍山,2023,33.21567957925385
