Model,Dataset,R²,RMSE,MAE,MAPE
Transformer_Basic,Train,0.0994957685470581,49.091017289475936,33.667781829833984,124.18685
Transformer_Basic,Validation,-0.2819857597351074,33.73187628251744,28.124778747558594,196.59612
Transformer_Basic,Test,-0.4213292598724365,30.35712525439353,24.879289627075195,192.17593
Transformer_Optimized,Train,0.594666063785553,32.93560426529795,23.64527702331543,81.57132
Transformer_Optimized,Validation,-0.049671292304992676,30.522883601321873,22.779760360717773,138.1588
Transformer_Optimized,Test,-0.09400439262390137,26.633168861285544,19.696191787719727,127.47774
