Model               , R2                   , RMSE               , MAE                , MAPE
BPNN-Optimized                , -0.008092217545951685,  8.916757009827913 ,  7.153941676859504 ,  78.21152206945698
CNN-LSTM-Transformer, -0.8421943945835597  , 12.053815055418221 ,  8.979873685950412 ,  88.63735428258165
CNN-Optimized       , 0.6795010507298489   ,  5.027708684901362 ,  3.9793152264462814,  44.00823827861167
LightGBM-Optimized , 0.9526056332105984   ,  1.9333931010276493,  1.4139750215591491,  11.433938506297848
MLR_GAM-Optimized  , -5.176626627111639   , 22.071531883233185 , 17.105635057936674 , 147.29531853421395
RF-Optimized       , -1.003539556751722   , 12.570592918447366 ,  9.145188663969973 ,  94.18773000452089
SVR-Optimized      , -10.203337253242049  , 29.72559160345031  , 26.22700763103889  , 200.19093591251672
Transformer        , -1.527299224992789   , 14.118388684600953 , 10.559429306857574 , 102.76820876597144
XGBOOST-Optimized , 0.90578533070694     ,  2.7259385782122583,  2.162297542132886 ,  20.632041262386185
