Model                 , R2                 , RMSE               , MAE                , MAPE
BPNN-Optimized        , 0.5790584093098237 , 11.293863062719147 ,  8.906838842441859 ,  62.71864029685506
CNN-LSTM-Transformer, 0.16302452073561335, 15.925312492665546 , 12.269525732558138 ,  74.2045870627792
CNN-Optimized       , 0.8929400851380259 ,  5.695672972684251 ,  4.462426008139535 ,  34.31995358798868
LightGBM-Optimized             , 0.9668525362033424 ,  3.1450540238418268,  2.1339522780873947,  10.393511096944765
MLR_GAM-Optimized              , -0.4527955282441791, 20.98137029803054  , 16.29566636120627  , 112.51587023372475
RF-Optimized                   , 0.49241251651227347, 12.401866544644543 ,  9.369654224897566 ,  72.30770969498784
SVR-Optimized                  , -1.7256550175939012, 28.519269742288646 , 24.555465443850366 , 153.93306981499774
Transformer          , 0.21926007405005332, 15.381007928411085 , 11.72822487592855  ,  80.9215807428881
XGBOOST-Optimized              , 0.9638357804022085 ,  3.3103289363253996,  2.53903653260999  ,  16.581222251250516
