Model,Dataset,R²,RMSE,MAE,MAPE
XGBoost_Basic,Train,0.9361859434280856,13.19277203909324,9.718753896452434,31.149244795645604
XGBoost_Basic,Validation,0.6790866928566108,17.085969768702697,11.561853712654917,62.8294930644257
XGBoost_Basic,Test,0.6315411506130573,15.125776005246614,10.497312939702313,59.64048633368798
XGBoost_Optimized,Train,0.8394985906816617,20.92267971041655,14.857748141793067,46.8049213854539
XGBoost_Optimized,Validation,0.6530814410848736,17.764767885856845,12.158917414942602,67.37211275110575
XGBoost_Optimized,Test,0.6122043494072935,15.517602968295986,11.156073388703696,66.72786221833053
