Sequence_Position,Attention_Weight
0,0.0042163096
1,0.0059751617
2,0.007492211
3,0.008544963
4,0.010169335
5,0.011275983
6,0.01239944
7,0.013580776
8,0.015054864
9,0.016708056
10,0.018237984
11,0.019429961
12,0.02080943
13,0.022392208
14,0.024152366
15,0.02584503
16,0.027573552
17,0.029786855
18,0.031617846
19,0.03300735
20,0.035279
21,0.037327617
22,0.03974597
23,0.04189534
24,0.044258747
25,0.047060456
26,0.050618198
27,0.054159578
28,0.05673295
29,0.23465236
