Sequence_Position,Attention_Weight
0,0.049108263
1,0.043779746
2,0.04521162
3,0.048321452
4,0.05241168
5,0.057198495
6,0.062184587
7,0.067535646
8,0.07356925
9,0.08103381
10,0.08933748
11,0.09825477
12,0.108111046
13,0.12394207
