factor,q,p_value
night_light,0.3846007809546005,1.1169554833092139e-06
road_density,0.37794257843053847,1.6058082232674566e-06
population,0.3517917591999351,6.400046753017834e-06
electricity,0.3304009948668981,1.8883059472468354e-05
new_energy_vehicles,0.24629057986486547,0.01978228477150158
gas_supply,0.22541085015711826,0.0021281620918024
gdp,0.19733706630583103,0.006433592400409402
fvc_mean,0.1932959158744031,0.0075030771174332414
lpg_supply,0.04580571801691202,0.6316598602282723
